occ_code,occ_title,emp_2024,emp_2034,pct_change,annual_openings,labor_force_exits,occupational_transfers,total_separations,g_baseline
31-2011,        Occupational therapy assistants,49.2,58.7,19.2,7.2,2.4,3.8,11.7,0.017811374142402858
31-2012,        Occupational therapy aides,5.2,5.3,2.5,0.6,0.2,0.4,11.7,0.0019066348181644432
31-2020,      Physical therapist assistants and aides,157.1,182.9,16.4,26.4,8.9,15.0,14.0,0.015321895879617298
31-2021,        Physical therapist assistants,111.5,136.0,22.0,19.8,6.5,10.9,14.0,0.02006161209189017
31-2022,        Physical therapist aides,45.6,46.9,2.8,6.6,2.4,4.1,14.0,0.0028149504466881137
31-9000,    Other healthcare support occupations,1889.7,2068.5,9.5,269.4,101.3,150.3,12.7,0.009081551370751617
31-9011,      Massage therapists,168.0,193.9,15.4,24.7,11.9,10.3,12.2,0.014441138389464703
31-9090,      Miscellaneous healthcare support occupations,1721.7,1874.6,8.9,244.7,89.4,140.0,12.8,0.008544611420287174
31-9091,        Dental assistants,381.9,406.3,6.4,52.9,20.5,30.0,12.8,0.006212519018186313
31-9092,        Medical assistants,811.0,912.2,12.5,112.3,38.7,63.5,11.9,0.011828531280840826
31-9093,        Medical equipment preparers,76.5,84.2,10.0,10.9,4.6,5.6,12.6,0.00963655346874992
31-9094,        Medical transcriptionists,43.9,41.8,-4.9,7.4,3.2,4.5,17.8,-0.004889803848683871
31-9095,        Pharmacy aides,41.1,41.1,-0.1,6.1,2.2,3.9,14.8,0.0
31-9096,        Veterinary assistants and laboratory animal caretakers,117.8,128.1,8.7,22.2,6.7,14.5,17.3,0.008417523559619333
31-9097,        Phlebotomists,139.7,147.5,5.6,18.4,7.2,10.4,12.3,0.0054478769561145945
31-9099,"        Healthcare support workers, all other",109.7,113.5,3.5,14.4,6.3,7.7,12.6,0.0034111517452277695
33-0000,  Protective service occupations,3787.4,3816.6,0.8,423.6,177.6,243.0,11.1,0.0007683156117463952
33-1000,    Supervisors of protective service workers,408.4,417.1,2.1,30.8,12.3,17.6,7.3,0.0021101146562974016
33-1010,      First-line supervisors of law enforcement workers,217.9,220.9,1.4,15.2,6.0,8.9,6.8,0.0013683221472020612
33-1011,        First-line supervisors of correctional officers,57.1,55.5,-2.8,4.3,1.9,2.6,7.9,-0.0028380746210081575
33-1012,        First-line supervisors of police and detectives,160.8,165.4,2.9,10.9,4.1,6.3,6.4,0.002824524057132294
33-1021,      First-line supervisors of firefighting and prevention workers,97.2,100.5,3.4,6.5,2.6,3.6,6.3,0.0033442812753634588
33-1090,"      Miscellaneous first-line supervisors, protective service workers",93.3,95.6,2.5,9.1,3.8,5.1,9.4,0.002438238901911749
33-1091,        First-line supervisors of security workers,71.9,73.8,2.7,7.0,2.9,3.9,9.4,0.0026116511225602324
33-1099,"        First-line supervisors of protective service workers, all other",21.5,21.8,1.6,2.1,0.9,1.2,9.4,0.001386663996809645
33-2000,    Firefighting and prevention workers,362.5,375.3,3.5,28.9,7.7,19.9,7.5,0.0034761510325242995
33-2011,      Firefighters,344.9,356.7,3.4,27.1,7.0,18.9,7.4,0.0033697220332153943
33-2020,      Fire inspectors,17.6,18.6,5.6,1.8,0.6,1.1,9.5,0.005541565853049546
33-2021,        Fire inspectors and investigators,14.7,15.2,3.8,1.5,0.5,0.9,9.5,0.0033503934701653026
33-2022,        Forest fire inspectors and prevention specialists,2.9,3.3,14.6,0.3,0.1,0.2,9.5,0.013005012216313228
33-3000,    Law enforcement workers,1241.6,1232.0,-0.8,94.8,33.6,62.2,7.7,-0.0007758993678415038
33-3010,"      Bailiffs, correctional officers, and jailers",406.5,376.0,-7.5,31.9,13.5,21.4,8.9,-0.00776914154908559
33-3011,        Bailiffs,19.0,18.6,-2.2,1.8,1.0,0.8,9.9,-0.0021254778109293104
33-3012,        Correctional officers and jailers,387.5,357.4,-7.8,30.1,12.5,20.6,8.9,-0.008053420647825216
33-3021,      Detectives and criminal investigators,117.9,117.1,-0.7,7.8,2.5,5.3,6.7,-0.0006806219656830814
33-3031,      Fish and game wardens,7.0,6.6,-6.0,0.5,0.3,0.3,8.7,-0.005866772883165505
33-3041,      Parking enforcement workers,8.4,8.2,-1.5,0.7,0.4,0.4,8.7,-0.0024068540287504048
33-3050,      Police officers,701.9,724.0,3.1,53.9,16.9,34.8,7.3,0.0031048549732493047
33-3051,        Police and sheriff's patrol officers,698.8,720.8,3.1,53.7,16.9,34.7,7.3,0.0031045218807903563
33-3052,        Transit and railroad police,3.1,3.2,3.0,0.2,0.1,0.2,7.3,0.003179915068592054
33-9000,    Other protective service workers,1774.8,1792.2,1.0,269.0,124.0,143.2,15.0,0.0009760935640923396
33-9011,      Animal control workers,12.2,12.7,3.9,1.3,0.5,0.8,10.1,0.004024681537978747
33-9021,      Private detectives and investigators,43.6,46.2,6.0,3.9,1.4,2.2,8.1,0.005809072374561186
33-9030,      Security guards and gambling surveillance officers,1272.4,1277.5,0.4,162.3,64.7,97.1,12.7,0.0004000962374444139
33-9031,        Gambling surveillance officers and gambling investigators,10.3,10.3,0.3,1.3,0.5,0.8,12.7,0.0
33-9032,        Security guards,1262.1,1267.1,0.4,161.0,64.2,96.3,12.7,0.000395460627972799
33-9090,      Miscellaneous protective service workers,446.6,455.8,2.1,101.4,57.4,43.1,22.3,0.0020411580733150636
33-9091,        Crossing guards and flaggers,91.4,94.7,3.6,18.0,12.8,4.9,19.0,0.0035531496966223486
33-9092,"        Lifeguards, ski patrol, and other recreational protective service workers",149.7,158.4,5.8,42.7,21.5,20.4,27.2,0.005665004589324507
33-9093,        Transportation security screeners,50.1,47.1,-6.0,4.7,2.5,2.5,10.4,-0.006155775803430408
33-9094,        School bus monitors,71.4,69.5,-2.7,12.6,8.8,4.0,18.2,-0.002693477739558525
33-9099,"        Protective service workers, all other",84.0,86.1,2.5,23.3,11.9,11.3,27.2,0.0024723123954539794
35-0000,  Food preparation and serving related occupations,13805.3,14295.3,3.5,2625.8,1146.3,1430.5,18.3,0.003493913085257816
35-1000,    Supervisors of food preparation and serving workers,1412.3,1499.3,6.2,208.3,69.7,129.9,13.7,0.005995778294684895
35-1011,      Chefs and head cooks,197.3,211.3,7.1,24.4,7.0,15.9,11.2,0.006878902866751968
35-1012,      First-line supervisors of food preparation and serving workers,1215.0,1288.0,6.0,183.9,62.6,114.0,14.1,0.005851709842369157
35-2000,    Cooks and food preparation workers,3707.8,3807.5,2.7,580.2,267.6,302.6,15.2,0.0026569331042511912
35-2010,      Cooks,2805.1,2935.7,4.7,432.2,193.0,226.1,14.6,0.004561043712891566
35-2011,"        Cooks, fast food",669.5,579.2,-13.5,82.1,42.0,49.2,14.6,-0.014383881565967371
35-2012,"        Cooks, institution and cafeteria",466.1,475.4,2.0,69.7,31.7,37.1,14.6,0.0019775880077019803
35-2013,"        Cooks, private household",34.2,36.0,5.1,5.3,2.4,2.8,14.6,0.005142506969999738
35-2014,"        Cooks, restaurant",1460.2,1677.2,14.9,250.7,105.5,123.5,14.6,0.01395166093148803
35-2015,"        Cooks, short order",151.1,142.7,-5.6,20.6,9.9,11.6,14.6,-0.005703407940985006
35-2019,"        Cooks, all other",24.0,25.3,5.5,3.7,1.7,1.9,14.6,0.005288994145740578
35-2021,      Food preparation workers,902.7,871.8,-3.4,148.0,74.6,76.5,17.0,-0.003476964560728102
35-3000,    Food and beverage serving workers,7159.6,7429.5,3.8,1538.6,658.1,853.5,20.7,0.00370729992137786
35-3011,      Bartenders,756.7,801.5,5.9,129.6,40.3,84.7,16.1,0.005768383253582643
35-3023,      Fast food and counter workers,3796.0,4029.2,6.1,904.3,402.8,478.1,22.5,0.005979804507576736
35-3031,      Waiters and waitresses,2329.7,2313.5,-0.7,456.7,191.3,267.1,19.7,-0.0006975540517943912
35-3041,"      Food servers, nonrestaurant",277.2,285.3,3.0,48.0,23.7,23.6,16.8,0.0028843508487774727
35-9000,    Other food preparation and serving related workers,1525.6,1559.0,2.2,298.7,150.9,144.5,19.2,0.0021680282591085565
35-9011,      Dining room and cafeteria attendants and bartender helpers,527.4,560.6,6.3,99.6,49.5,46.8,17.7,0.006123508973546743
35-9021,      Dishwashers,477.7,478.6,0.2,76.8,38.5,38.2,16.0,0.00018824322336796762
35-9031,"      Hosts and hostesses, restaurant, lounge, and coffee shop",429.9,423.5,-1.5,107.7,56.9,51.5,25.4,-0.0014987866367861535
35-9099,"      Food preparation and serving related workers, all other",90.5,96.3,6.4,14.6,6.0,8.0,15.0,0.006231180341795817
37-0000,  Building and grounds cleaning and maintenance occupations,5715.9,5832.9,2.0,788.7,371.6,405.3,13.5,0.0020283081020677773
37-1000,    Supervisors of building and grounds cleaning and maintenance workers,494.5,506.4,2.4,56.3,22.2,32.8,11.0,0.002380801594553672
37-1011,      First-line supervisors of housekeeping and janitorial workers,269.8,276.4,2.5,33.0,14.2,18.2,11.9,0.0024197376630925582
37-1012,"      First-line supervisors of landscaping, lawn service, and groundskeeping workers",224.7,230.0,2.3,23.2,8.0,14.7,10.0,0.002334032596300828
37-2000,    Building cleaning and pest control workers,3924.9,3984.2,1.5,560.8,283.7,271.2,14.0,0.0015006915185009628
37-2010,      Building cleaning workers,3822.5,3876.8,1.4,547.4,280.8,261.1,14.1,0.0014115365070861419
37-2011,"        Janitors and cleaners, except maids and housekeeping cleaners",2447.7,2495.5,2.0,351.3,174.5,172.1,14.0,0.0019359016233309045
37-2012,        Maids and housekeeping cleaners,1356.8,1362.8,0.4,193.5,105.1,87.8,14.2,0.0004413394365210266
37-2019,"        Building cleaning workers, all other",18.1,18.5,2.5,2.6,1.3,1.3,14.0,0.002188270157249983
37-2021,      Pest control workers,102.4,107.5,4.9,13.4,2.9,10.0,12.3,0.004872244465943698
37-3000,    Grounds maintenance workers,1296.4,1342.3,3.5,171.6,65.7,101.3,12.7,0.003485396741109925
37-3011,      Landscaping and groundskeeping workers,1192.5,1235.0,3.6,158.2,62.0,92.0,12.7,0.003508041454736821
37-3012,"      Pesticide handlers, sprayers, and applicators, vegetation",29.6,30.7,3.8,4.1,1.2,2.8,13.1,0.003655494408156379
37-3013,      Tree trimmers and pruners,60.1,62.1,3.3,7.4,2.0,5.2,11.7,0.0032789788683258436
37-3019,"      Grounds maintenance workers, all other",14.1,14.5,2.4,1.9,0.5,1.3,13.1,0.0028013015372101435
39-0000,  Personal care and service occupations,4464.1,4650.6,4.2,772.4,310.1,443.7,16.5,0.004101248924360146
39-1000,    Supervisors of personal care and service workers,304.9,323.4,6.1,33.1,12.0,19.3,9.9,0.005907993070805917
39-1010,      First-line supervisors of entertainment and recreation workers,155.8,164.3,5.4,16.8,6.1,9.8,9.9,0.005326223322509316
39-1013,        First-line supervisors of gambling services workers,32.5,33.1,2.0,3.3,1.3,2.0,9.9,0.0018309935300337976
39-1014,"        First-line supervisors of entertainment and recreation workers, except gambling services",123.3,131.1,6.3,13.4,4.9,7.8,9.9,0.00615284955132811
39-1022,      First-line supervisors of personal service workers,149.1,159.1,6.7,16.3,5.9,9.5,9.9,0.006512687273746209
39-2000,    Animal care and service workers,439.4,489.4,11.4,81.7,28.0,48.6,16.5,0.01083528013738233
39-2011,      Animal trainers,47.3,49.8,5.1,7.1,2.4,4.5,14.1,0.005163755318691177
39-2021,      Animal caretakers,392.1,439.6,12.1,74.6,25.7,44.2,16.8,0.011500458915079781
39-3000,    Entertainment attendants and related workers,659.8,674.8,2.3,159.8,66.5,91.8,23.7,0.0022504877423288328
39-3010,      Gambling services workers,113.0,111.8,-1.0,17.9,6.6,11.5,16.0,-0.0010670560894743275
39-3011,        Gambling dealers,88.7,88.1,-0.6,14.1,5.2,9.0,16.0,-0.0006785053484120729
39-3012,        Gambling and sports book writers and runners,8.2,7.7,-6.1,1.2,0.5,0.8,16.0,-0.006271633232441398
39-3019,"        Gambling service workers, all other",16.1,16.0,-0.6,2.6,0.9,1.6,16.0,-0.0006228609166177845
39-3021,      Motion picture projectionists,2.0,2.0,-3.7,0.5,0.2,0.3,25.3,0.0
39-3031,"      Ushers, lobby attendants, and ticket takers",121.7,123.1,1.2,30.8,13.9,16.8,25.1,0.0011444577121846322
39-3090,      Miscellaneous entertainment attendants and related workers,423.1,438.0,3.5,110.6,45.8,63.3,25.3,0.0034670315633997806
39-3091,        Amusement and recreation attendants,392.3,405.5,3.4,102.4,42.4,58.6,25.3,0.0033148841507486537
39-3092,        Costume attendants,6.7,7.1,5.9,1.8,0.7,1.0,25.3,0.005815570919688096
39-3093,"        Locker room, coatroom, and dressing room attendants",15.6,16.6,6.4,4.2,1.7,2.4,25.3,0.006232519939143977
39-3099,"        Entertainment attendants and related workers, all other",8.5,8.8,3.6,2.2,0.9,1.3,25.3,0.0034745781994514058
39-4000,    Funeral service workers,66.8,68.8,3.0,10.1,4.9,5.0,14.6,0.0029544221678450278
39-4010,      Embalmers and crematory operators,6.8,6.9,2.2,1.2,0.7,0.5,17.0,0.0014609460855887768
39-4011,        Embalmers,3.6,3.7,1.3,0.6,0.4,0.3,17.0,0.00274365436817936
39-4012,        Crematory operators,3.1,3.2,3.3,0.6,0.3,0.2,17.0,0.003179915068592054
39-4021,      Funeral attendants,32.5,33.5,3.1,5.7,3.2,2.4,17.0,0.003035131662900259
39-4031,"      Morticians, undertakers, and funeral arrangers",27.5,28.4,3.1,3.2,1.0,2.1,11.2,0.0032255048312388457
39-5000,    Personal appearance workers,984.2,1042.4,5.9,127.3,52.5,68.9,12.0,0.005761724991327544
39-5010,"      Barbers, hairdressers, hairstylists and cosmetologists",651.2,686.6,5.4,84.2,35.7,44.9,12.1,0.00530754199426231
39-5011,        Barbers,76.0,79.2,4.1,8.4,2.9,5.2,10.4,0.004132812465866165
39-5012,"        Hairdressers, hairstylists, and cosmetologists",575.2,607.4,5.6,75.8,32.9,39.7,12.3,0.005461836358322758
39-5090,      Miscellaneous personal appearance workers,333.0,355.8,6.9,43.1,16.8,24.0,11.9,0.006644606620218596
39-5091,"        Makeup artists, theatrical and performance",7.0,7.6,8.1,1.1,0.4,0.6,13.9,0.008257718236080347
39-5092,        Manicurists and pedicurists,210.1,224.8,7.0,24.8,10.4,13.0,10.7,0.006785670053632842
39-5093,        Shampooers,18.5,19.6,5.5,2.7,1.1,1.6,13.9,0.0057925959909688185
39-5094,        Skincare specialists,97.4,103.9,6.7,14.5,5.0,8.9,13.8,0.0064811812911023114
39-6000,"    Baggage porters, bellhops, and concierges",78.1,78.6,0.7,11.5,4.6,6.8,14.6,0.0006383679290855593
39-6011,      Baggage porters and bellhops,32.5,32.0,-1.6,4.6,1.9,2.8,14.6,-0.0015492173755039529
39-6012,      Concierges,45.6,46.7,2.3,6.8,2.7,4.0,14.6,0.0023864879553172624
39-7000,    Tour and travel guides,55.8,60.3,8.1,13.0,5.4,7.1,21.6,0.007785977739906524
39-7010,      Tour and travel guides,55.8,60.3,8.1,13.0,5.4,7.1,21.6,0.007785977739906524
39-9000,    Other personal care and service workers,1875.1,1912.9,2.0,336.0,136.1,196.1,17.5,0.0019978354034018153
39-9011,      Childcare workers,991.6,962.4,-2.9,160.2,74.7,88.4,16.7,-0.0029845010456996945
39-9030,      Recreation and fitness workers,697.8,755.3,8.2,142.2,47.8,88.6,18.8,0.007949681500325934
39-9031,        Exercise trainers and group fitness instructors,370.1,414.2,11.9,74.2,23.7,46.0,17.8,0.01132117586369974
39-9032,        Recreation workers,327.7,341.1,4.1,68.1,24.1,42.6,20.0,0.004015754994469711
39-9041,      Residential advisors,91.2,94.7,3.8,17.4,7.3,9.8,18.4,0.003773010261204579
39-9099,"      Personal care and service workers, all other",94.4,100.4,6.4,16.1,6.3,9.2,15.9,0.006181138289204746
41-0000,  Sales and related occupations,14532.6,14234.8,-2.0,1786.8,833.2,983.4,12.6,-0.0020683311435177876
41-1000,    Supervisors of sales workers,1752.6,1680.3,-4.1,149.9,63.5,93.6,9.2,-0.004203943658662834
41-1011,      First-line supervisors of retail sales workers,1432.6,1360.3,-5.0,125.1,53.3,79.0,9.5,-0.005165185470703548
41-1012,      First-line supervisors of non-retail sales workers,320.0,320.0,0.0,24.8,10.2,14.6,7.8,0.0
41-2000,    Retail sales workers,7796.8,7483.8,-4.0,1178.6,589.3,620.5,15.8,-0.004088888510826338
41-2010,      Cashiers,3179.8,2864.7,-9.9,546.7,295.6,282.6,19.1,-0.010381206333066828
41-2011,        Cashiers,3157.2,2843.6,-9.9,542.6,293.5,280.6,19.1,-0.010406939519971403
41-2012,        Gambling change persons and booth cashiers,22.6,21.1,-6.4,4.0,2.1,2.0,19.1,-0.006844157913457383
41-2020,      Counter and rental clerks and parts salespersons,680.3,701.9,3.2,76.1,32.1,41.8,10.7,0.0031305967532251344
41-2021,        Counter and rental clerks,408.2,421.3,3.2,45.9,19.9,24.6,10.7,0.0031637861011368784
41-2022,        Parts salespersons,272.1,280.6,3.1,30.2,12.2,17.2,10.6,0.0030807880911642993
41-2031,      Retail salespersons,3936.7,3917.1,-0.5,555.8,261.6,296.2,14.2,-0.0004989979396814448
41-3000,"    Sales representatives, services",2479.4,2550.3,2.9,224.6,77.7,139.8,8.6,0.002823418748828299
41-3011,      Advertising sales agents,103.7,97.1,-6.4,9.3,3.2,6.8,10.0,-0.006554498938193709
41-3021,      Insurance sales agents,568.8,589.8,3.7,47.0,20.7,24.2,7.7,0.00363204172517273
41-3031,"      Securities, commodities, and financial services sales agents",514.5,531.6,3.3,38.1,13.4,23.1,7.0,0.0032749280540245174
41-3041,      Travel agents,65.7,67.2,2.2,7.1,3.1,3.8,10.5,0.002259982122326365
41-3091,"      Sales representatives of services, except advertising, insurance, financial services, and travel",1226.7,1264.7,3.1,123.0,37.3,81.9,9.6,0.003055388498137246
41-4000,"    Sales representatives, wholesale and manufacturing",1613.6,1623.8,0.6,142.1,55.0,86.0,8.7,0.0006303359571009359
41-4011,"      Sales representatives, wholesale and manufacturing, technical and scientific products",303.2,308.9,1.9,27.2,10.4,16.3,8.7,0.0018642301360272118
41-4012,"      Sales representatives, wholesale and manufacturing, except technical and scientific products",1310.5,1314.9,0.3,114.8,44.6,69.8,8.7,0.0003352435144923227
41-9000,    Other sales and related workers,890.1,896.6,0.7,91.6,47.5,43.4,10.2,0.0007278663418825992
41-9010,"      Models, demonstrators, and product promoters",85.9,85.7,-0.2,15.2,8.9,6.2,17.7,-0.00023307317287446505
41-9011,        Demonstrators and product promoters,79.2,79.1,-0.1,14.0,8.2,5.8,17.7,-0.00012633442381171367
41-9012,        Models,6.7,6.7,-0.5,1.2,0.7,0.5,17.7,0.0
41-9020,      Real estate brokers and sales agents,532.2,548.7,3.1,46.3,25.9,18.7,8.3,0.0030579144630147326
41-9021,        Real estate brokers,111.3,115.0,3.3,9.7,5.4,3.9,8.3,0.003275640230667065
41-9022,        Real estate sales agents,420.9,433.7,3.1,36.6,20.5,14.8,8.3,0.003000269332297245
41-9031,      Sales engineers,56.8,59.9,5.5,5.0,1.4,3.3,8.0,0.005328162376258216
41-9041,      Telemarketers,67.4,52.5,-22.1,6.5,3.1,4.9,13.3,-0.024673687833825952
41-9090,      Miscellaneous sales and related workers,147.8,149.8,1.3,18.7,8.2,10.3,12.4,0.0013450099725680342
41-9091,"        Door-to-door sales workers, news and street vendors, and related workers",25.3,22.8,-10.0,2.7,1.5,1.4,12.2,-0.010350447580902977
41-9099,"        Sales and related workers, all other",122.6,127.1,3.7,16.0,6.6,8.9,12.5,0.003611220269773563
43-0000,  Office and administrative support occupations,19325.2,18563.3,-3.9,1996.8,981.5,1091.4,10.9,-0.004014264256842814
43-1000,    Supervisors of office and administrative support workers,1558.4,1554.4,-0.3,144.5,63.0,81.9,9.3,-0.00025697045993811063
43-1011,      First-line supervisors of office and administrative support workers,1558.4,1554.4,-0.3,144.5,63.0,81.9,9.3,-0.00025697045993811063
43-2000,    Communications equipment operators,42.1,31.4,-25.4,3.2,2.1,2.2,11.6,-0.02889820870299964
43-2011,"      Switchboard operators, including answering service",36.6,27.0,-26.3,2.8,1.8,1.9,11.7,-0.02996307135398979
43-2021,      Telephone operators,4.0,2.9,-27.5,0.3,0.2,0.2,11.6,-0.03164678081612149
43-2099,"      Communications equipment operators, all other",1.4,1.5,2.5,0.1,0.1,0.1,9.8,0.006923142059345189
43-3000,    Financial clerks,2833.6,2642.5,-6.7,278.6,155.4,142.4,10.9,-0.006957935620595546
43-3011,      Bill and account collectors,166.9,149.4,-10.5,13.7,7.1,8.3,9.8,-0.011015634421091769
43-3021,      Billing and posting clerks,429.8,427.9,-0.4,42.2,19.3,23.0,9.9,-0.00044294794814270233
43-3031,"      Bookkeeping, accounting, and auditing clerks",1613.4,1519.1,-5.8,170.0,100.7,78.6,11.5,-0.00600447060768905
43-3041,      Gambling cage workers,14.1,13.4,-5.0,1.3,0.5,0.9,10.2,-0.005079066741436877
43-3051,      Payroll and timekeeping clerks,161.1,134.2,-16.7,13.0,8.0,7.7,10.7,-0.018103532631874142
43-3061,      Procurement clerks,61.9,56.6,-8.7,4.6,1.9,3.3,8.7,-0.008911177442517904
43-3071,      Tellers,347.4,302.5,-12.9,29.8,16.1,18.1,10.6,-0.013744231221027525
43-3099,"      Financial clerks, all other",38.9,39.4,1.4,4.0,1.5,2.4,10.2,0.0012779724797102876
43-4000,    Information and record clerks,5511.6,5304.2,-3.8,653.0,300.2,373.5,12.5,-0.0038282537385346815
43-4011,      Brokerage clerks,40.8,36.9,-9.5,4.1,2.2,2.3,11.7,-0.009996750005698773
43-4021,      Correspondence clerks,6.9,6.5,-5.6,0.7,0.3,0.4,11.6,-0.005954126979246022
43-4031,"      Court, municipal, and license clerks",180.4,185.9,3.0,18.5,8.5,9.5,9.8,0.0030077429191659455
43-4041,"      Credit authorizers, checkers, and clerks",12.0,11.3,-6.2,1.0,0.5,0.6,8.8,-0.0059923661316053645
43-4051,      Customer service representatives,2814.0,2660.3,-5.5,341.7,154.2,202.9,13.0,-0.005601061267538676
43-4061,"      Eligibility interviewers, government programs",166.8,168.5,1.0,14.0,6.3,7.5,8.3,0.0010145402849504048
43-4071,      File clerks,84.3,70.9,-15.9,7.3,4.3,4.4,11.1,-0.017162166200890838
43-4081,"      Hotel, motel, and resort desk clerks",264.2,274.0,3.7,43.6,17.5,25.1,15.8,0.0036488121961693043
43-4111,"      Interviewers, except eligibility and loan",164.3,145.1,-11.6,15.8,8.4,9.3,11.5,-0.012350189142048773
43-4121,"      Library assistants, clerical",84.5,78.9,-6.7,12.8,7.2,6.2,16.4,-0.006833574859436697
43-4131,      Loan interviewers and clerks,177.6,173.5,-2.3,13.3,5.6,8.2,7.8,-0.0023328976717269523
43-4141,      New accounts clerks,38.9,33.8,-13.2,2.3,1.1,1.8,7.8,-0.013955057523743042
43-4151,      Order clerks,89.5,74.1,-17.2,8.0,4.2,5.4,11.6,-0.018705155273668894
43-4161,"      Human resources assistants, except payroll and timekeeping",95.2,88.4,-7.1,9.0,4.0,5.7,10.5,-0.007383404965592311
43-4171,      Receptionists and information clerks,1007.2,1007.6,0.0,128.5,61.1,67.3,12.8,3.970696313237987e-05
43-4181,      Reservation and transportation ticket agents and travel clerks,131.9,135.6,2.8,14.4,6.0,8.0,10.5,0.002770361958263967
43-4199,"      Information and record clerks, all other",153.3,153.0,-0.2,17.8,8.9,9.0,11.7,-0.00019586726403564292
43-5000,"    Material recording, scheduling, dispatching, and distributing workers",2492.6,2422.1,-2.8,210.5,93.0,124.5,8.9,-0.0028650289426029873
43-5011,      Cargo and freight agents,100.6,109.2,8.5,8.8,2.8,5.1,7.6,0.008236616369798666
43-5021,      Couriers and messengers,247.2,267.6,8.2,27.9,12.1,13.8,10.1,0.007961082494115201
43-5030,      Dispatchers,323.9,325.5,0.5,29.2,12.2,16.8,8.9,0.0004928849750349684
43-5031,        Public safety telecommunicators,105.2,108.9,3.5,10.7,4.6,5.7,9.7,0.003462654147198485
43-5032,"        Dispatchers, except police, fire, and ambulance",218.7,216.7,-0.9,18.5,7.6,11.1,8.6,-0.0009182800366405175
43-5041,"      Meter readers, utilities",20.1,17.7,-12.0,1.3,0.7,0.8,8.1,-0.012635016918891129
43-5050,      Postal service workers,500.0,477.1,-4.6,34.5,19.0,17.8,7.5,-0.0046772261407074245
43-5051,        Postal service clerks,74.2,71.6,-3.5,6.1,3.7,2.7,8.8,-0.0035605537624729955
43-5052,        Postal service mail carriers,319.4,308.1,-3.5,20.6,10.7,11.1,6.9,-0.003595503658846866
43-5053,"        Postal service mail sorters, processors, and processing machine operators",106.4,97.5,-8.4,7.8,4.6,4.1,8.5,-0.008697277834011752
43-5061,"      Production, planning, and expediting clerks",388.8,381.7,-1.8,34.1,12.9,22.0,9.0,-0.0018413139810904422
43-5071,"      Shipping, receiving, and inventory clerks",862.2,795.8,-7.7,69.3,30.8,45.1,9.2,-0.007981910451944962
43-5111,"      Weighers, measurers, checkers, and samplers, recordkeeping",49.8,47.4,-4.8,5.3,2.4,3.1,11.3,-0.004927097370246325
43-6000,    Secretaries and administrative assistants,3453.1,3440.8,-0.4,358.3,184.4,175.1,10.4,-0.0003567739235900147
43-6011,      Executive secretaries and executive administrative assistants,502.8,494.9,-1.6,50.0,22.8,28.0,10.2,-0.001582422123540539
43-6012,      Legal secretaries and administrative assistants,156.3,147.3,-5.8,19.6,12.6,7.9,13.5,-0.005913040152290994
43-6013,      Medical secretaries and administrative assistants,850.0,885.3,4.2,85.9,39.7,42.7,9.5,0.004077311823601271
43-6014,"      Secretaries and administrative assistants, except legal, medical, and executive",1944.0,1913.2,-1.6,202.8,109.3,96.6,10.7,-0.0015957727199740201
43-9000,    Other office and administrative support workers,3433.7,3167.9,-7.7,348.7,183.4,191.8,11.4,-0.008024578698897056
43-9020,      Data entry and information processing workers,181.7,130.5,-28.2,11.8,7.8,9.1,10.8,-0.0325566172035433
43-9021,        Data entry keyers,141.6,104.9,-25.9,9.5,5.8,7.4,10.7,-0.029554336980207374
43-9022,        Word processors and typists,40.0,25.6,-36.1,2.2,2.0,1.7,11.2,-0.043647500209963
43-9031,      Desktop publishers,5.0,4.4,-12.4,0.4,0.2,0.3,10.3,-0.012701977348889781
43-9041,      Insurance claims and policy processing clerks,256.7,247.2,-3.7,20.3,9.5,11.8,8.4,-0.0037639348016192953
43-9051,"      Mail clerks and mail machine operators, except postal service",67.4,62.9,-6.6,6.9,3.8,3.6,11.3,-0.006886067055221878
43-9061,"      Office clerks, general",2646.0,2468.2,-6.7,282.4,149.7,150.5,11.7,-0.0069318556471301696
43-9071,"      Office machine operators, except computer",25.5,21.6,-15.2,2.8,1.5,1.8,13.7,-0.016461517443738805
43-9081,      Proofreaders and copy markers,12.0,11.9,-0.6,1.9,1.0,0.8,15.8,-0.0008364749266865923
43-9111,      Statistical assistants,6.5,6.3,-2.5,0.8,0.3,0.5,12.4,-0.003120375826565658
43-9199,"      Office and administrative support workers, all other",232.9,214.8,-7.8,21.3,9.7,13.5,10.3,-0.008057543981396464
45-0000,"  Farming, fishing, and forestry occupations",1008.5,983.3,-2.5,142.8,65.7,79.6,14.6,-0.002527310520466508
45-1000,"    Supervisors of farming, fishing, and forestry workers",65.4,67.0,2.5,8.5,3.4,4.9,12.6,0.002419959479353917
45-1011,"      First-line supervisors of farming, fishing, and forestry workers",65.4,67.0,2.5,8.5,3.4,4.9,12.6,0.002419959479353917
45-2000,    Agricultural workers,866.2,841.8,-2.8,123.5,57.2,68.7,14.7,-0.002853258941628356
45-2011,      Agricultural inspectors,14.7,14.9,1.5,2.2,0.8,1.4,15.0,0.0013522854311538435
45-2021,      Animal breeders,7.9,8.1,2.4,1.2,0.5,0.6,14.8,0.0025032581523039
45-2041,"      Graders and sorters, agricultural products",38.9,36.8,-5.4,5.1,2.5,2.8,14.0,-0.005534269737160202
45-2090,      Miscellaneous agricultural workers,804.7,782.1,-2.8,115.0,53.4,63.9,14.8,-0.0028446390793860354
